adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/pk1zexoUCtjFs761W48QyIPzwCj.jpg,12,425148,en,Show Dogs,"Max, a macho, solitary Rottweiler police dog is ordered to go undercover as a primped show dog in a prestigious Dog Show, along with his human partner, to avert a disaster from happening.",20.241,/2dvxCBUfDG2cAdkA921rERxhtcp.jpg,2018-05-18,Show Dogs,False,6.079,240
False,/tZ33omm0IVM8kKzHH1aqrb8jj5h.jpg,35,180719,it,Sessomatto,"How Funny Can Sex Be? is an nine-episode anthology film about love, sex and marriage in contemporary, mid-'70s Italy.",25.292,/wrbCE4NGTtsS61ooSSR5AeCxtNn.jpg,1973-12-19,How Funny Can Sex Be?,False,5.8,52
False,/bqFO92d1idNAI4OOncUrduz2YoA.jpg,28,10428,en,Hackers,"Along with his new friends, a teenager who was arrested by the US Secret Service and banned from using a computer for writing a computer virus discovers a plot by a nefarious hacker, but they must use their computer skills to find the evidence while being pursued by the Secret Service and the evil computer genius behind the virus.",30.981,/qfx2EENW1sOpKNVKLzr7VOhlxkt.jpg,1995-09-14,Hackers,False,6.348,1204
False,/zIxWFekMJkxUFp52xAWSP0mhB8k.jpg,10751,60405,en,Sharpay's Fabulous Adventure,"After a talent scout spots her performing with her dog Boi at a charity gala, Sharpay Evans sets off for the bright lights of NYC, convinced instant fame and fortune are in the bag. But theatre's a dog-eat-dog world. Fortunately, Sharpay also meets Peyton, a handsome student filmmaker who finds Sharpay nearly as fascinating as she finds herself.",18.483,/aPtBzBKCCvByXue1AZrG2lrxm4l.jpg,2011-04-19,Sharpay's Fabulous Adventure,False,6.008,526
False,/lX3cvWjKw9fyKxtfgKL00WFvxwi.jpg,18,12502,en,Silkwood,"The story of Karen Silkwood, a metallurgy worker at a plutonium processing plant who was purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing blatant worker safety violations at the plant.",16.228,/7Piz5R5dB6d7v1OWNaIn9GB4qZg.jpg,1983-12-14,Silkwood,False,6.938,300
False,/bV7eAcBrYb57PwjpQ2ODT6VyFPd.jpg,99,318256,en,Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,26.982,/75ot83QOkc02vujyzmIbumQCU6Y.jpg,2015-05-29,Hot Girls Wanted,False,6.036,611
False,/i80wifLk9w3q4Pq9UOPlfrsjKY1.jpg,10749,34016,en,She's Out of My League,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",25.478,/wTy3rtmbgJkClR492q6FBbtdeMb.jpg,2010-03-11,She's Out of My League,False,6.459,2005
False,/jBQJ1J45pqRLtABbK9LBgKL0YmE.jpg,12,12609,da,"Hjælp, jeg er en fisk","Three children are accidentally transformed into fish after consuming a potion made by an eccentric scientist. The kids end up in the sea, with one problem: they must find and drink the antidote within 48 hours, or forever remain as fish.",22.224,/s9yFQD19xJqXEnAnUAZFUan25DJ.jpg,2000-10-06,Help! I'm a Fish,False,6.616,402
False,/nz3i2aYk3eR5fKyoOPpXatT76P6.jpg,37,932086,en,Horizon: An American Saga - Chapter 1,"Explore the lure of the Old West and how it was won—and lost—through the blood, sweat and tears of many. Spanning the four years of the Civil War, from 1861 to 1865, embark on an emotional journey across a country at war with itself, experienced through the lens of families, friends and foes all attempting to discover what it truly means to be the United States of America.",13.618,/yI3N6rWCLVmOhcXEdsHgbY7JTLB.jpg,2024-06-28,Horizon: An American Saga - Chapter 1,False,0.0,0
False,,18,1239416,vi,Sáng Đèn,"in 1994, at that time the mainstream Cai Luong troupe was sought after by the audience, Thanh was then a 10 year old boy working as a fisherman on the river and despite the danger, he managed to hold the altar. Patriarch and then were adopted by the theater troupe Mr. Bau by the troupe. Kieu Truc Linh, a pretty 9-year-old girl, is the daughter of the famous singer Kieu Truc Le. In order to save her child, Truc Le sacrificed herself... Ten years later, the lack of customers persisted even though the group's owner used every possible means, from an orthodox Cai Luong troupe, it has now become a vaudeville troupe with a circus and lottery. In music, in opera and opera, there are only excerpts and the relationship between the new and the ancient.  THIS MOVIE PLOT IS GODDAM LONG SO I SUMMARIZE IT",23.825,/i93PafRvipPc7e6jYjmSe9qHsBP.jpg,2024-03-24,Sáng Đèn,False,0.0,0
False,/mzlZAMjE2yk2sW3f9HTeBM3B3jw.jpg,14,616747,en,Haunted Mansion,A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,40.114,/8Im6DknDVxRiGXc5t8rVOJyzuNx.jpg,2023-07-26,Haunted Mansion,False,6.55,922
False,/92Ppi99LkZFHUgpxwYRxcKZVZNH.jpg,18,82693,en,Silver Linings Playbook,"After spending eight months in a mental institution, a former teacher moves back in with his parents and tries to reconcile with his ex-wife.",37.785,/y7iOVneBvITlBdhy6tVqXVOa1Js.jpg,2012-11-16,Silver Linings Playbook,False,7.137,11626
False,/kKbQXVYy5i87HcDtRc3BPyqysY5.jpg,10770,61964,en,Stepfather 3,"After escaping a Puget Sound institution, ""Stepfather"" Gene Clifford alters his appearance with plastic surgery and takes on another new identity: Keith Grant. Moving to Deer View, California, Keith falls for a divorced school principal, arousing the suspicions of her wheelchair-bound, computer-savvy son.",21.552,/an492xjfS59bRBVTnmFfGy71cNl.jpg,1992-06-04,Stepfather 3,False,5.097,36
False,/psTz3J2QXVKTQCGrPDFuC4kAOLb.jpg,16,682254,en,Scooby-Doo! The Sword and the Scoob,"An evil sorceress transports the gang back to the age of chivalrous knights, spell-casting wizards, and fire-breathing dragons.",20.238,/sCoG0ibohbPrnyomtzegSuBL40L.jpg,2021-02-24,Scooby-Doo! The Sword and the Scoob,False,7.7,178
False,/mLAgmcqB0VLNHPUlOgYqujQvzdS.jpg,28,54445,en,S.W.A.T.: Firefight,"Los Angeles S.W.A.T. officer, Lt. Paul Cutler, is sent to train the Detroit S.W.A.T. team on new anti-terrorism and homeland security techniques. Cutler has a hard time settling into his assignment as he locks horns with his new captain and encounters resistance from the team he must lead. Cutler begins to adjust to his new assignment, starting a budding romance with police psychologist Kim Byers along the way. Unexpectedly, a routine hostage call turns deadly, and a relentless ex-government agent named Walter Hatch vows revenge on Cutler and the entire S.W.A.T. team for killing the woman he loves. Cutler must use his considerable S.W.A.T. training and knowledge to save his teammates and defeat a trained killer.",28.221,/hDeBVLKDeyavwHRPy8z5yBynNj4.jpg,2011-03-01,S.W.A.T.: Firefight,False,5.691,337
