adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/54ZrrcUdMJuulbUc3CDEpKqrlBw.jpg,[35],2665,en,Airplane II: The Sequel,"A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine.",24.93,/5nBnmNmmBCsdkB2uxPMcm1nfrnc.jpg,1982-12-10,Airplane II: The Sequel,False,6.088,1022
False,/mMA2YNddowV8MZtxpbn0a7Yilum.jpg,"[10752, 36, 28, 18]",928123,zh,长津湖之水门桥,"In the follow-up to ""The Battle At Lake Changjin"", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.",20.814,/4W58wirZhbzcw2lNzRS2ErKnOGS.jpg,2022-02-01,The Battle at Lake Changjin II: Water Gate Bridge,False,6.5,62
False,/gBPNui7ABK5Wz46o1ohuleIrzvC.jpg,"[28, 12, 35, 18, 9648]",7364,en,Sahara,"Seasoned adventurer and treasure hunter Dirk Pitt, a former Navy SEAL, sets out for the African desert with his wisecracking buddy Al in search of a confederate ironclad battleship rumored to have vanished long ago, the main draw being the treasure supposedly hidden within the lost vessel. When the daring duo come across Dr. Eva Rojas, a beautiful scientist who is juggling an escape from a warlord and a mission to stop the spread of a powerful plague, their desert expedition begins to heat up.",20.68,/kyY1onYxkKBDlJsheRsVbMaoQEM.jpg,2005-04-06,Sahara,False,5.904,1399
False,/60UN7vvcWWggLe0Uz9EFZJx718P.jpg,"[53, 80]",879538,en,Crawlspace,"After witnessing a brutal murder in a cabin, a man hides in a crawlspace while the killers scour the property for a hidden fortune. As they draw nearer, he must decide if the crawlspace will be his tomb or the battleground in his fight for survival.",27.955,/yZVByCjWvKdSWcYLacoFmnOoSpm.jpg,2022-03-31,Crawlspace,False,5.95,120
False,/ef3ySEDfWeQWBfXPuc7VLhIsccH.jpg,[18],111190,en,Adore,"Lil and Roz are two lifelong friends, having grown up together as neighbors in an idyllic beach town. As adults, their sons have developed a friendship as strong as that which binds their mothers. One summer, all four are confronted by simmering emotions that have been mounting between them, and each find unexpected happiness in relationships that cross the bounds of convention.",21.932,/hIQqIeG7Ude0QRUFntdLtsAUEBB.jpg,2013-04-03,Adore,False,6.13,928
False,/4fU2ddunguMjxWK0oWdUfKES9Qo.jpg,"[28, 35]",5851,en,Showtime,A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based T.V. cop show.,16.18,/7eo7pxiSH0qvp8GKHclhrdxowlC.jpg,2002-03-14,Showtime,False,5.521,915
False,/el2b1ic9zg1z97NjuU5lWZE2KXC.jpg,"[53, 35]",843394,en,Cat Person,"When Margot, a college sophomore, goes on a date with the older Robert, she finds that IRL Robert doesn’t live up to the Robert she has been flirting with over texts.",22.772,/8J1iCl6S7yFVPu4Op3tC855BVyR.jpg,2023-10-06,Cat Person,False,6.0,41
False,/7iVYv40E35mWe6jdPKKqGbpzNCJ.jpg,"[18, 53, 9648]",192,en,The Name of the Rose,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",23.678,/d6dlbTBb3N7nXDz7tQslDJs2jgv.jpg,1986-09-24,The Name of the Rose,False,7.476,2843
False,/kqkYa0ou7qRur7qb3QBfQkDA8wc.jpg,"[10749, 35]",11648,en,Must Love Dogs,"Sarah Nolan is a newly divorced woman cautiously rediscovering romance with the enthusiastic but often misguided help of her well-meaning family. As she braves a series of hilarious disastrous mismatches and first dates, Sarah begins to trust her own instincts again and learns that, no matter what, it's never a good idea to give up on love.",18.429,/252PdRj3y2S05DC4oSf2qk2vva3.jpg,2005-07-21,Must Love Dogs,False,5.883,437
False,/vb3KG2ALfiUrwgEsL3pLZGNFW8b.jpg,"[18, 35]",180863,en,T2 Trainspotting,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",28.933,/xlbpCwa9OXXIiNgXcwuompHFIk9.jpg,2017-01-27,T2 Trainspotting,False,6.944,2997
