adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/mmd1HnuvAzFc4iuVJcnBrhDNEKr.jpg,"[27, 53]",694,en,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",57.425,/nRj5511mZdTl4saWEPoj9QroTIu.jpg,1980-05-23,The Shining,False,8.215,16772
False,/dEY6lCgiODGMDPY3Oo2j09ngPiq.jpg,"[27, 9648, 18]",310131,en,The Witch,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.",80.35,/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,2015-11-11,The Witch,False,6.938,6614
False,/3Nn5BOM1EVw1IYrv6MsbOS6N1Ol.jpg,"[14, 18, 10749]",162,en,Edward Scissorhands,A small suburban town receives a visit from a castaway unfinished science experiment named Edward.,64.356,/e0FqKFvGPdQNWG8tF9cZBtev9Em.jpg,1990-12-07,Edward Scissorhands,False,7.715,12429
False,/qB9wshRySHgN2MibLOlsW6YalqD.jpg,"[9648, 53, 80]",945729,en,A Haunting in Venice,"Celebrated sleuth Hercule Poirot, now retired and living in self-imposed exile in Venice, reluctantly attends a Halloween séance at a decaying, haunted palazzo. When one of the guests is murdered, the detective is thrust into a sinister world of shadows and secrets.",73.956,/l6iwxT0NbVw6QiF08YTIuTnXS82.jpg,2023-09-13,A Haunting in Venice,False,6.708,1895
False,/2QL5j6mB4ZpyBcVr0WO9H9MQGBu.jpg,"[28, 12, 14]",734253,hi,आदिपुरुष,"7000 years ago, Ayodhya's Prince Raghava and Prince Sesh along with the Mighty Vanar Warriors travels to the island of Lanka with an aim to rescue Raghava's wife Janaki, who has been abducted by Lankesh, the king of Lanka.",55.892,/kpuOeWclbtLU414Txv8ZT6HoZ0k.jpg,2023-06-16,Adipurush,False,5.311,74
False,/AnA7leKuH68mwHCf7beWjp6GSqm.jpg,"[28, 53, 878, 12]",46529,en,I Am Number Four,"A teenage fugitive with an incredible secret races to stay one step ahead of the mysterious forces seeking destroy him in this sci-fi action thriller. With three dead and one on the run, the race to find the elusive Number Four begins. Outwardly normal teen John Smith never gets too comfortable in the same identity, and along with his guardian, Henri, he is constantly moving from town to town. With each passing day, John gains a stronger grasp on his extraordinary new powers, and his bond to the beings that share his fantastic fate grows stronger.",54.605,/973sCL0OjAk2Igq46SDwhyDFv3n.jpg,2011-02-18,I Am Number Four,False,6.2,4496
False,/rBAtTt5qALvEoRlIu7ZXF5jqSYC.jpg,"[27, 53]",420634,en,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,65.104,/nfRlQCl590F30L37aihuqBGBvaO.jpg,2018-01-25,Terrifier,False,6.476,1884
False,/r7E1wjETuYChaZ8vK7rAim6bVlD.jpg,"[10749, 18, 36]",333167,ko,순수의 시대,A brilliant general distinguishes himself by protecting the dynasty's borders while keeping an eye on one of the sons of the king.,57.044,/bhkjOVlgTFCjLuLFx1GCM9qrszo.jpg,2015-03-05,Empire of Lust,False,6.9,40
False,/A1bWhTFQKkhF1yhSKWosSyzn2Hp.jpg,"[53, 9648, 10749]",705996,ko,헤어질 결심,"From a mountain peak in South Korea, a man plummets to his death. Did he jump, or was he pushed? When detective Hae-joon arrives on the scene, he begins to suspect the dead man’s wife Seo-rae. But as he digs deeper into the investigation, he finds himself trapped in a web of deception and desire.",62.62,/N0rskx91Eh6aWjvBybeY6epNic.jpg,2022-06-29,Decision to Leave,False,7.382,1047
False,/fRnhnR2JfkGBT19z7EXEmIUcDSo.jpg,"[12, 28, 14]",1734,en,The Mummy Returns,"Rick and Evelyn O’Connell, along with their 8-year-old son Alex, discover the key to the legendary Scorpion King’s might: the fabled Bracelet of Anubis. Unfortunately, a newly resurrected Imhotep has designs on the bracelet as well, and isn’t above kidnapping its new bearer, Alex, to gain control of Anubis’s otherworldly army.",54.334,/kdJsW7hcy1lrj7tdMPycTAQPAiR.jpg,2001-05-04,The Mummy Returns,False,6.37,6702
